# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,71.49645016011992,-91.14576283817493,0.22306096712578666,4.483079280455591,0.0,0.0
 0.06713781958290915,0.011268717045868152,0.16784454895727294,2.500000000000001,71.49645016011992,-91.14595374451817,0.22306096712578666,4.483079280455591,0.0,0.0
 0.09431111703733808,0.022236466992076202,0.403622341550618,8.676819329297707,71.35435407426687,-91.14614465086139,0.24018231315929153,4.163503910201702,-5.2292544212335,-192.4409221958888
 0.11472667256259195,0.03290552349321048,0.5225944739998254,5.827523640100798,71.20547730277129,-91.14633555720462,0.2590348058702841,3.860485067403514,-7.292320373619601,-101.05362794728298
 0.1315722835336954,0.043278164485677846,0.6157473902407183,5.529803365439529,71.04933101385454,-91.14652646354784,0.2798384406316852,3.5734904673663808,-9.269256495629326,-117.35615439540375
 0.14609130379101923,0.053356672608399686,0.6941589683117869,5.400610831954412,70.88537857838692,-91.14671736989108,0.30284719932284215,3.3019952049613535,-11.292251995097246,-139.33416054347478
 0.15892556204243738,0.06314333567626154,0.7625421645836413,5.328176738558167,70.713029615516,-91.1469082762343,0.32835527753245963,3.0454817340377445,-13.42882147878518,-166.47393576109835
 0.17045873074080298,0.07264044721441394,0.8234607319581015,5.282032108235197,70.53163313109049,-91.14709918257753,0.35670464181214967,2.8034398288728384,-15.728243396909544,-199.374688627439
 0.18094231905558422,0.0818503070630321,0.8785026244909675,5.250291301048145,70.3404695836425,-91.14729008892077,0.3882942395984406,2.5753665597361493,-18.23455306600172,-239.06982932155236
 0.19055206329391805,0.09077522206392338,0.9287359558737551,5.227332813125655,70.13874167921826,-91.14748099526399,0.42359127976881866,2.360766256911061,-20.99201596016746,-286.94446238913025
 0.1994166561173583,0.09941750684257182,0.9749217985281895,5.210148235157204,69.9255636521204,-91.14767190160723,0.4631451158079352,2.1591504819295055,-24.048259332810744,-344.7697410942325
 0.20763379753973205,0.1077794847019261,1.0176261341427268,5.196981945358921,69.69994873527217,-91.14786280795045,0.5076044235047213,1.970037993553259,-27.45661845783985,-414.78647498371805
 0.21527980736475882,0.11586348864751916,1.0572840122612261,5.186741715749811,69.46079445623458,-91.14805371429368,0.5577385706800613,1.792954714931551,-31.278311761357802,-499.82845836907745
 0.22243743809666044,0.1236718625676664,1.0909160045579385,4.698760463684477,69.20686530886849,-91.1482446206369,0.6144643546521145,1.6274337029137527,-35.476704076716985,-586.5617370629238
 0.2293623127327352,0.13120696259755915,1.0881207857018922,-0.40364901936054437,68.93677224345444,-91.14843552698014,0.67887966100814,1.47301511215551,-39.00331480472167,-509.2670861697636
 0.2362571423017743,0.13847115870253066,1.053571525189109,-5.010894057182358,68.64894827825019,-91.14862643332336,0.7523061029899262,1.3292461619354836,-41.74489917730689,-397.6290269590079
 0.24312120656013703,0.14546683652382172,1.0191742906206036,-5.011205209304091,68.3416193589485,-91.14881733966659,0.836343401160558,1.195681102537956,-44.7736075499649,-441.2412615409342
 0.2499537159770804,0.1521963995404526,0.9849328564323366,-5.011545846296887,68.01276936216969,-91.14900824600983,0.9329392280742403,1.0718811792963037,-48.13019298053723,-491.2668575689935
 0.25675380304639217,0.1586622716139001,0.9508513652166949,-5.01191982812231,67.66009783986904,-91.14919915235305,1.0444795819081605,0.9574145989269597,-51.862795094524955,-548.9050472357424
 0.26352051237664176,0.16486689999914625,0.9169343742178007,-5.012331599241786,67.28096871046894,-91.14939005869628,1.173906647395095,0.8518564932049795,-56.02858212118781,-615.6296692160699
 0.2702527893977751,0.17081275892752495,0.8831869083393373,-5.012786279074151,66.87234758412065,-91.1495809650395,1.3248737775001123,0.7547888840300602,-60.6958277363808,-693.2640472966306
 0.2769494675154398,0.1765023538953562,0.8496145204923389,-5.013289762044868,66.43072472259622,-91.14977187138274,1.5019510772452491,0.6658006476709714,-65.94655645154694,-784.0796022905129
 0.283609253549912,0.1819382268300401,0.816223360112003,-5.013848824496377,65.9520197115043,-91.14996277772596,1.7109006360063383,0.5844874792578517,-71.87993857671397,-890.9268397595383
 0.29023071132368355,0.18712296235533904,0.7830202505913957,-5.014471232019206,65.43146267765941,-91.1501536840692,1.959048606127774,0.5104518575353701,-78.61668104369622,-1017.4107722422341
 0.29681224332755596,0.19205919544486558,0.7500127761472838,-5.015165834442672,64.86344518818176,-91.15034459041243,2.2557933894268696,0.4433030102344925,-86.30475231958724,-1168.1279178415555
 0.30335207052731394,0.19674962084393535,0.7172093781382098,-5.015942624644253,64.24133164029277,-91.15053549675565,2.6133072501741275,0.3826568804465563,-95.12690915013907,-1348.9892868848726
 0.3098482106188777,0.20119700476492078,0.6846194599099015,-5.016812717852483,63.55721872944923,-91.15072640309889,3.047516005794209,0.32813609447783404,-105.31067698678042,-1567.6644427460215
 0.31629845547815993,0.2054041995343305,0.652253497532787,-5.017788174434658,62.801626092222556,-91.15091730944211,3.5794832735664492,0.2793699323544097,-117.14169829372294,-1834.1972382516667
 0.3227003493165497,0.20937416211240692,0.620123150788607,-5.0188815302600736,61.96309491544214,-91.15110821578534,4.23739044560116,0.23599430187937984,-130.98173727156436,-2161.866367550166
 0.329051170372525,0.21310997775005303,0.5882413635526957,-5.02010479509802,61.02766240023898,-91.15129912212856,5.059404535775723,0.19765171828598935,-147.2931620901264,-2568.396223857547
